weather_iteration,hydro_iteration,stage_id,timepoint,market_price
0,0,1,20300001,5
0,0,1,20300002,5
0,0,1,20300003,5
0,0,1,20300004,5
0,0,1,20300005,5
0,0,1,20300006,5
0,0,1,20300007,5
0,0,1,20300008,5
0,0,1,20300009,5
0,0,1,20300010,5
0,0,1,20300011,5
0,0,1,20300012,5
0,0,1,20300013,5
0,0,1,20300014,5
0,0,1,20300015,5
0,0,1,20300016,5
0,0,1,20300017,5
0,0,1,20300018,5
0,0,1,20300019,5
0,0,1,20300020,5
0,0,1,20300021,5
0,0,1,20300022,5
0,0,1,20300023,5
0,0,1,20300024,5
0,0,1,20300025,5
0,0,1,20300026,5
0,0,1,20300027,5
0,0,1,20300028,5
0,0,1,20300029,5
0,0,1,20300030,5
0,0,1,20300031,5
0,0,1,20300032,5
0,0,1,20300033,5
0,0,1,20300034,5
0,0,1,20300035,5
0,0,1,20300036,5
0,0,1,20300037,5
0,0,1,20300038,5
0,0,1,20300039,5
0,0,1,20300040,5
0,0,1,20300041,5
0,0,1,20300042,5
0,0,1,20300043,5
0,0,1,20300044,5
0,0,1,20300045,5
0,0,1,20300046,5
0,0,1,20300047,5
0,0,1,20300048,5
0,0,1,20300049,5
0,0,1,20300050,5
0,0,1,20300051,5
0,0,1,20300052,5
0,0,1,20300053,5
0,0,1,20300054,5
0,0,1,20300055,5
0,0,1,20300056,5
0,0,1,20300057,5
0,0,1,20300058,5
0,0,1,20300059,5
0,0,1,20300060,5
0,0,1,20300061,5
0,0,1,20300062,5
0,0,1,20300063,5
0,0,1,20300064,5
0,0,1,20300065,5
0,0,1,20300066,5
0,0,1,20300067,5
0,0,1,20300068,5
0,0,1,20300069,5
0,0,1,20300070,5
0,0,1,20300071,5
0,0,1,20300072,5
0,0,1,20300073,5
0,0,1,20300074,5
0,0,1,20300075,5
0,0,1,20300076,5
0,0,1,20300077,5
0,0,1,20300078,5
0,0,1,20300079,5
0,0,1,20300080,5
0,0,1,20300081,5
0,0,1,20300082,5
0,0,1,20300083,5
0,0,1,20300084,5
0,0,1,20300085,5
0,0,1,20300086,5
0,0,1,20300087,5
0,0,1,20300088,5
0,0,1,20300089,5
0,0,1,20300090,5
0,0,1,20300091,5
0,0,1,20300092,5
0,0,1,20300093,5
0,0,1,20300094,5
0,0,1,20300095,5
0,0,1,20300096,5
0,0,1,20300097,5
0,0,1,20300098,5
0,0,1,20300099,5
0,0,1,20300100,5
0,0,1,20300101,5
0,0,1,20300102,5
0,0,1,20300103,5
0,0,1,20300104,5
0,0,1,20300105,5
0,0,1,20300106,5
0,0,1,20300107,5
0,0,1,20300108,5
0,0,1,20300109,5
0,0,1,20300110,5
0,0,1,20300111,5
0,0,1,20300112,5
0,0,1,20300113,5
0,0,1,20300114,5
0,0,1,20300115,5
0,0,1,20300116,5
0,0,1,20300117,5
0,0,1,20300118,5
0,0,1,20300119,5
0,0,1,20300120,5
0,0,1,20300121,5
0,0,1,20300122,5
0,0,1,20300123,5
0,0,1,20300124,5
0,0,1,20300125,5
0,0,1,20300126,5
0,0,1,20300127,5
0,0,1,20300128,5
0,0,1,20300129,5
0,0,1,20300130,5
0,0,1,20300131,5
0,0,1,20300132,5
0,0,1,20300133,5
0,0,1,20300134,5
0,0,1,20300135,5
0,0,1,20300136,5
0,0,1,20300137,5
0,0,1,20300138,5
0,0,1,20300139,5
0,0,1,20300140,5
0,0,1,20300141,5
0,0,1,20300142,5
0,0,1,20300143,5
0,0,1,20300144,5
0,0,1,20300145,5
0,0,1,20300146,5
0,0,1,20300147,5
0,0,1,20300148,5
0,0,1,20300149,5
0,0,1,20300150,5
0,0,1,20300151,5
0,0,1,20300152,5
0,0,1,20300153,5
0,0,1,20300154,5
0,0,1,20300155,5
0,0,1,20300156,5
0,0,1,20300157,5
0,0,1,20300158,5
0,0,1,20300159,5
0,0,1,20300160,5
0,0,1,20300161,5
0,0,1,20300162,5
0,0,1,20300163,5
0,0,1,20300164,5
0,0,1,20300165,5
0,0,1,20300166,5
0,0,1,20300167,5
0,0,1,20300168,5
0,0,1,20300169,5
0,0,1,20300170,5
0,0,1,20300171,5
0,0,1,20300172,5
0,0,1,20300173,5
0,0,1,20300174,5
0,0,1,20300175,5
0,0,1,20300176,5
0,0,1,20300177,5
0,0,1,20300178,5
0,0,1,20300179,5
0,0,1,20300180,5
0,0,1,20300181,5
0,0,1,20300182,5
0,0,1,20300183,5
