weather_iteration,hydro_iteration,stage_id,timepoint,max_market_sales,max_market_purchases,max_final_market_sales,max_final_market_purchases
0,0,1,20300001,400,400,,
0,0,1,20300002,400,400,,
0,0,1,20300003,400,400,,
0,0,1,20300004,400,400,,
0,0,1,20300005,400,400,,
0,0,1,20300006,400,400,,
0,0,1,20300007,400,400,,
0,0,1,20300008,400,400,,
0,0,1,20300009,400,400,,
0,0,1,20300010,400,400,,
0,0,1,20300011,400,400,,
0,0,1,20300012,400,400,,
0,0,1,20300013,400,400,,
0,0,1,20300014,400,400,,
0,0,1,20300015,400,400,,
0,0,1,20300016,400,400,,
0,0,1,20300017,400,400,,
0,0,1,20300018,400,400,,
0,0,1,20300019,400,400,,
0,0,1,20300020,400,400,,
0,0,1,20300021,400,400,,
0,0,1,20300022,400,400,,
0,0,1,20300023,400,400,,
0,0,1,20300024,400,400,,
0,0,1,20300025,400,400,,
0,0,1,20300026,400,400,,
0,0,1,20300027,400,400,,
0,0,1,20300028,400,400,,
0,0,1,20300029,400,400,,
0,0,1,20300030,400,400,,
0,0,1,20300031,400,400,,
0,0,1,20300032,400,400,,
0,0,1,20300033,400,400,,
0,0,1,20300034,400,400,,
0,0,1,20300035,400,400,,
0,0,1,20300036,400,400,,
0,0,1,20300037,400,400,,
0,0,1,20300038,400,400,,
0,0,1,20300039,400,400,,
0,0,1,20300040,400,400,,
0,0,1,20300041,400,400,,
0,0,1,20300042,400,400,,
0,0,1,20300043,400,400,,
0,0,1,20300044,400,400,,
0,0,1,20300045,400,400,,
0,0,1,20300046,400,400,,
0,0,1,20300047,400,400,,
0,0,1,20300048,400,400,,
0,0,1,20300049,400,400,,
0,0,1,20300050,400,400,,
0,0,1,20300051,400,400,,
0,0,1,20300052,400,400,,
0,0,1,20300053,400,400,,
0,0,1,20300054,400,400,,
0,0,1,20300055,400,400,,
0,0,1,20300056,400,400,,
0,0,1,20300057,400,400,,
0,0,1,20300058,400,400,,
0,0,1,20300059,400,400,,
0,0,1,20300060,400,400,,
0,0,1,20300061,400,400,,
0,0,1,20300062,400,400,,
0,0,1,20300063,400,400,,
