project,period,min_new_build_power,max_new_build_power,min_capacity_power,max_capacity_power,min_new_build_stor_energy,max_new_build_stor_energy,min_capacity_stor_energy,max_capacity_stor_energy,min_new_procured_energy,max_new_procured_energy,min_total_procured_energy,max_total_procured_energy
Solar_New,203001,,,0,10000,,,,,,,,
Wind_New,203001,,,0,10000,,,,,,,,
Battery_New,203001,,,0,5000,,,0,20000,,,,
Solar_New,203501,,,0,10000,,,,,,,,
Wind_New,203501,,,0,10000,,,,,,,,
Battery_New,203501,,,0,5000,,,0,20000,,,,
Gas_RA,203001,0,5000,,,,,,,,,,
Gas_RA,203002,0,5000,,,,,,,,,,
Gas_RA,203003,0,5000,,,,,,,,,,
Gas_RA,203004,0,5000,,,,,,,,,,
Gas_RA,203005,0,5000,,,,,,,,,,
Gas_RA,203006,0,5000,,,,,,,,,,
Gas_RA,203007,0,5000,,,,,,,,,,
Gas_RA,203008,0,5000,,,,,,,,,,
Gas_RA,203009,0,5000,,,,,,,,,,
Gas_RA,203010,0,5000,,,,,,,,,,
Gas_RA,203011,0,5000,,,,,,,,,,
Gas_RA,203012,0,5000,,,,,,,,,,
Gas_RA,203501,0,5000,,,,,,,,,,
Gas_RA,203502,0,5000,,,,,,,,,,
Gas_RA,203503,0,5000,,,,,,,,,,
Gas_RA,203504,0,5000,,,,,,,,,,
Gas_RA,203505,0,5000,,,,,,,,,,
Gas_RA,203506,0,5000,,,,,,,,,,
Gas_RA,203507,0,5000,,,,,,,,,,
Gas_RA,203508,0,5000,,,,,,,,,,
Gas_RA,203509,0,5000,,,,,,,,,,
Gas_RA,203510,0,5000,,,,,,,,,,
Gas_RA,203511,0,5000,,,,,,,,,,
Gas_RA,203512,0,5000,,,,,,,,,,
